published_date,title,author,rank,weeks_on_list
2024-12-29,JAMES,Percival Everett,1,8
2024-12-29,WIND AND TRUTH,Brandon Sanderson,2,2
2024-12-29,WICKED,Gregory Maguire,3,5
2024-12-29,THE WOMEN,Kristin Hannah,4,45
2024-12-29,FOURTH WING,Rebecca Yarros,5,73
2024-12-29,THE HOUSE OF CROSS,James Patterson,6,3
2024-12-29,THE GOD OF THE WOODS,Liz Moore,7,7
2024-12-29,THE WEDDING PEOPLE,Alison Espach,8,5
2024-12-29,THE FROZEN RIVER,Ariel Lawhon,9,4
2024-12-29,A COURT OF THORNS AND ROSES,Sarah J. Maas,10,36
2024-12-29,THE HOUSEMAID,Freida McFadden,11,75
2024-12-29,QUICKSILVER,Callie Hart,12,2
2024-12-29,SMALL THINGS LIKE THESE,Claire Keegan,13,1
2024-12-29,TO DIE FOR,David Baldacci,14,5
2024-12-29,COUNTING MIRACLES,Nicholas Sparks,15,10
2025-01-05,JAMES,Percival Everett,1,9
2025-01-05,THE WOMEN,Kristin Hannah,2,46
2025-01-05,WICKED,Gregory Maguire,3,6
2025-01-05,FOURTH WING,Rebecca Yarros,4,74
2025-01-05,THE HOUSEMAID,Freida McFadden,5,76
2025-01-05,A COURT OF THORNS AND ROSES,Sarah J. Maas,6,37
2025-01-05,THE GOD OF THE WOODS,Liz Moore,7,8
2025-01-05,WIND AND TRUTH,Brandon Sanderson,8,3
2025-01-05,IT STARTS WITH US,Colleen Hoover,9,57
2025-01-05,IT ENDS WITH US,Colleen Hoover,10,145
2025-01-05,THE FROZEN RIVER,Ariel Lawhon,11,5
2025-01-05,THE HOUSE OF CROSS,James Patterson,12,4
2025-01-05,COUNTING MIRACLES,Nicholas Sparks,13,11
2025-01-05,QUICKSILVER,Callie Hart,14,3
2025-01-05,IRON FLAME,Rebecca Yarros,15,48
2025-01-12,JAMES,Percival Everett,1,10
2025-01-12,FOURTH WING,Rebecca Yarros,2,75
2025-01-12,THE WOMEN,Kristin Hannah,3,47
2025-01-12,WICKED,Gregory Maguire,4,7
2025-01-12,THE HOUSEMAID,Freida McFadden,5,77
2025-01-12,A COURT OF THORNS AND ROSES,Sarah J. Maas,6,38
2025-01-12,THE GOD OF THE WOODS,Liz Moore,7,9
2025-01-12,WIND AND TRUTH,Brandon Sanderson,8,4
2025-01-12,IT STARTS WITH US,Colleen Hoover,9,58
2025-01-12,IT ENDS WITH US,Colleen Hoover,10,146
2025-01-12,IRON FLAME,Rebecca Yarros,11,49
2025-01-12,VERITY,Colleen Hoover,12,94
2025-01-12,QUICKSILVER,Callie Hart,13,4
2025-01-12,THE FROZEN RIVER,Ariel Lawhon,14,6
2025-01-12,COUNTING MIRACLES,Nicholas Sparks,15,12
2025-01-19,JAMES,Percival Everett,1,11
2025-01-19,ALL THE COLORS OF THE DARK,Chris Whitaker,2,5
2025-01-19,THE HOUSEMAID,Freida McFadden,3,78
2025-01-19,FOURTH WING,Rebecca Yarros,4,76
2025-01-19,THE WOMEN,Kristin Hannah,5,48
2025-01-19,IRON FLAME,Rebecca Yarros,6,50
2025-01-19,THE GOD OF THE WOODS,Liz Moore,7,10
2025-01-19,A COURT OF THORNS AND ROSES,Sarah J. Maas,8,39
2025-01-19,THE FROZEN RIVER,Ariel Lawhon,9,7
2025-01-19,WICKED,Gregory Maguire,10,8
2025-01-19,THE WEDDING PEOPLE,Alison Espach,11,6
2025-01-19,IT STARTS WITH US,Colleen Hoover,12,59
2025-01-19,THE NIGHTINGALE,Kristin Hannah,13,66
2025-01-19,LIGHTS OUT,Navessa Allen,14,4
2025-01-19,QUICKSILVER,Callie Hart,15,5
2025-01-26,FOURTH WING,Rebecca Yarros,1,77
2025-01-26,IRON FLAME,Rebecca Yarros,2,51
2025-01-26,THE HOUSEMAID,Freida McFadden,3,79
2025-01-26,HOLMES IS MISSING,James Patterson and Brian Sitts,4,1
2025-01-26,JAMES,Percival Everett,5,12
2025-01-26,THE WOMEN,Kristin Hannah,6,49
2025-01-26,NEVER SAY NEVER,Danielle Steel,7,1
2025-01-26,THE FROZEN RIVER,Ariel Lawhon,8,8
2025-01-26,THE GOD OF THE WOODS,Liz Moore,9,11
2025-01-26,"BEG, BORROW, OR STEAL",Sarah Adams,10,1
2025-01-26,THE NIGHTINGALE,Kristin Hannah,11,67
2025-01-26,DARK HOPE,Christine Feehan,12,1
2025-01-26,A COURT OF THORNS AND ROSES,Sarah J. Maas,13,40
2025-01-26,FOUR RUINED REALMS,Mai Corland,14,1
2025-01-26,THE WEDDING PEOPLE,Alison Espach,15,7
2025-02-02,FOURTH WING,Rebecca Yarros,1,78
2025-02-02,THE BIG EMPTY,Robert Crais,2,1
2025-02-02,IRON FLAME,Rebecca Yarros,3,52
2025-02-02,THE HOUSEMAID,Freida McFadden,4,80
2025-02-02,JAMES,Percival Everett,5,13
2025-02-02,THE WOMEN,Kristin Hannah,6,50
2025-02-02,WITCHCRAFT FOR WAYWARD GIRLS,Grady Hendrix,7,1
2025-02-02,THE FROZEN RIVER,Ariel Lawhon,8,9
2025-02-02,BEAUTIFUL UGLY,Alice Feeney,9,1
2025-02-02,THE GOD OF THE WOODS,Liz Moore,10,12
2025-02-02,A COURT OF THORNS AND ROSES,Sarah J. Maas,11,41
2025-02-02,THE WEDDING PEOPLE,Alison Espach,12,8
2025-02-02,PRESUMED GUILTY,Scott Turow,13,1
2025-02-02,THE TEXAS MURDERS,James Patterson and Andrew Bourelle,14,1
2025-02-02,THE NIGHTINGALE,Kristin Hannah,15,68
2025-02-09,ONYX STORM,Rebecca Yarros,1,1
2025-02-09,FOURTH WING,Rebecca Yarros,2,79
2025-02-09,IRON FLAME,Rebecca Yarros,3,53
2025-02-09,THE HOUSEMAID,Freida McFadden,4,81
2025-02-09,JAMES,Percival Everett,5,14
2025-02-09,THE FROZEN RIVER,Ariel Lawhon,6,10
2025-02-09,THE WOMEN,Kristin Hannah,7,51
2025-02-09,A COURT OF THORNS AND ROSES,Sarah J. Maas,8,42
2025-02-09,THE GOD OF THE WOODS,Liz Moore,9,13
2025-02-09,THE HANDMAID'S TALE,Margaret Atwood,10,32
2025-02-09,THE WEDDING PEOPLE,Alison Espach,11,9
2025-02-09,PARABLE OF THE SOWER,Octavia E. Butler,12,1
2025-02-09,LIGHTS OUT,Navessa Allen,13,5
2025-02-09,QUICKSILVER,Callie Hart,14,6
2025-02-09,THE NIGHTINGALE,Kristin Hannah,15,69
2025-02-16,ONYX STORM,Rebecca Yarros,1,2
2025-02-16,THE CRASH,Freida McFadden,2,1
2025-02-16,FOURTH WING,Rebecca Yarros,3,80
2025-02-16,IRON FLAME,Rebecca Yarros,4,54
