title,author
JAMES,Percival Everett
WIND AND TRUTH,Brandon Sanderson
WICKED,Gregory Maguire
THE WOMEN,Kristin Hannah
FOURTH WING,Rebecca Yarros
THE HOUSE OF CROSS,James Patterson
THE GOD OF THE WOODS,Liz Moore
THE WEDDING PEOPLE,Alison Espach
THE FROZEN RIVER,Ariel Lawhon
A COURT OF THORNS AND ROSES,Sarah J. Maas
THE HOUSEMAID,Freida McFadden
QUICKSILVER,Callie Hart
SMALL THINGS LIKE THESE,Claire Keegan
TO DIE FOR,David Baldacci
COUNTING MIRACLES,Nicholas Sparks
IT STARTS WITH US,Colleen Hoover
IT ENDS WITH US,Colleen Hoover
IRON FLAME,Rebecca Yarros
VERITY,Colleen Hoover
ALL THE COLORS OF THE DARK,Chris Whitaker
THE NIGHTINGALE,Kristin Hannah
LIGHTS OUT,Navessa Allen
HOLMES IS MISSING,James Patterson and Brian Sitts
NEVER SAY NEVER,Danielle Steel
"BEG, BORROW, OR STEAL",Sarah Adams
DARK HOPE,Christine Feehan
FOUR RUINED REALMS,Mai Corland
THE BIG EMPTY,Robert Crais
WITCHCRAFT FOR WAYWARD GIRLS,Grady Hendrix
BEAUTIFUL UGLY,Alice Feeney
PRESUMED GUILTY,Scott Turow
THE TEXAS MURDERS,James Patterson and Andrew Bourelle
ONYX STORM,Rebecca Yarros
THE HANDMAID'S TALE,Margaret Atwood
PARABLE OF THE SOWER,Octavia E. Butler
THE CRASH,Freida McFadden
THE NIGHT IS DEFYING,Chloe C. Peñaranda
DEEP END,Ali Hazelwood
BONDED IN DEATH,J.D. Robb
OPEN SEASON,Jonathan Kellerman
DREAM GIRL DRAMA,Tessa Bailey
SCYTHE & SPARROW,Brynne Weaver
PARANOIA,James Patterson and James O. Born
FIRST-TIME CALLER,B.K. Borison
WE ALL LIVE HERE,Jojo Moyes
THREE DAYS IN JUNE,Anne Tyler
EMILY WILDE'S COMPENDIUM OF LOST TALES,Heather Fawcett
THE MEDICI RETURN,Steve Berry
MIDNIGHT BLACK,Mark Greaney
BATTLE MOUNTAIN,C.J. Box
THE CHARLIE METHOD,Elle Kennedy
FUNNY STORY,Emily Henry
GOD OF FURY,Rina Kent
WILD SIDE,Elsie Silver
BLOOD MOON,Sandra Brown
FAR FROM HOME,Danielle Steel
BROKEN COUNTRY,Clare Leslie Hall
WARD D,Freida McFadden
IF CATS DISAPPEARED FROM THE WORLD,Genki Kawamura
STORY OF MY LIFE,Lucy Score
THE STRAWBERRY PATCH PANCAKE HOUSE,Laurie Gilmore
THE WRITER,James Patterson and J.D. Barker
THE BUFFALO HUNTER HUNTER,Stephen Graham Jones
LETHAL PREY,John Sandford
NOBODY'S FOOL,Harlan Coben
SUMMER IN THE CITY,Alex Aster
ELPHIE,Gregory Maguire
GOD OF WAR,Rina Kent
SAY YOU'LL REMEMBER ME,Abby Jimenez
THE SIRENS,Emilia Hart
ENCHANTRA,Kaylie Smith
BLOOD OF HERCULES,Jasmine Mas
FIREBIRD,Juliette Cross
THE GRIFFIN SISTERS' GREATEST HITS,Jennifer Weiner
THE PERFECT DIVORCE,Jeneva Rose
STRANGERS IN TIME,David Baldacci
WILD AND WRANGLED,Lyla Sage
THE PERFECT MARRIAGE,Jeneva Rose
GREAT BIG BEAUTIFUL LIFE,Emily Henry
2 SISTERS MURDER INVESTIGATIONS,James Patterson and Candice Fox
SHADOW OF THE SOLSTICE,Anne Hillerman
INTO THE GRAY ZONE,Brad Taylor
25 ALIVE,James Patterson and Maxine Paetro
KING OF ENVY,Ana Huang
A MIND OF HER OWN,Danielle Steel
REMARKABLY BRIGHT CREATURES,Shelby Van Pelt
A COURT OF MIST AND FURY,Sarah J. Maas
A COURT OF WINGS AND RUIN,Sarah J. Maas
A COURT OF SILVER FLAMES,Sarah J. Maas
A COURT OF FROST AND STARLIGHT,Sarah J. Maas
THE TENANT,Freida McFadden
ONE GOLDEN SUMMER,Carley Fortune
SHIELD OF SPARROWS,Devney Perry
MY FRIENDS,Fredrik Backman
SILVER ELITE,Dani Francis
THE MISSING HALF,Ashley Flowers with Alex Kiester
THUNDER GAME,Christine Feehan
A CURSE CARVED IN BONE,Danielle L. Jensen
THE EMPEROR OF GLADNESS,Ocean Vuong
CAN'T GET ENOUGH,Kennedy Ryan
THE DEVILS,Joe Abercrombie
